"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"42233","AT 2019mbz","05:26:00.205","+50:25:19.16","","","","","ZTF","","ZTF","ZTF19aatfqzb","P48 - ZTF-Cam","","1","1","","20.63","g-ZTF","2019-07-30 11:13:55","ZTF_Bot1","",""
"42232","AT 2019mby","15:31:48.359","+55:25:46.55","","","","","ZTF","","ZTF","ZTF19abhzdjp","P48 - ZTF-Cam","","1","1","","19.84","g-ZTF","2019-07-24 04:56:38","ZTF_Bot1","",""
"42231","AT 2019mbx","22:15:08.624","-21:10:19.34","","","","","ZTF","","ZTF","ZTF19abgmxwn","P48 - ZTF-Cam","","1","1","","19.45","r-ZTF","2019-07-15 11:31:12","ZTF_Bot1","",""
"42230","AT 2019mbw","15:57:48.047","+07:05:42.70","","","","","ZTF","","ZTF","ZTF18aaxtmeg","P48 - ZTF-Cam","","1","1","","20.85","g-ZTF","2019-07-01 04:32:09","ZTF_Bot1","",""
"42229","AT 2019mbv","03:59:40.001","+13:54:54.44","","","","","ZTF","","ZTF","ZTF19abkhsmt","P48 - ZTF-Cam","","1","1","","20.13","g-ZTF","2019-07-30 11:09:19","ZTF_AMPEL_NEW","",""
"42228","AT 2019mbu","03:00:32.269","-09:33:59.76","","","","","ZTF","","ZTF","ZTF19abkhpod","P48 - ZTF-Cam","","1","1","","19.77","g-ZTF","2019-07-30 11:06:01","ZTF_AMPEL_NEW","",""
"42227","AT 2019mbt","06:39:03.429","+78:17:23.20","","","","","ZTF","","ZTF","ZTF19abkhdnu","P48 - ZTF-Cam","","1","1","","19.46","g-ZTF","2019-07-30 11:15:19","ZTF_AMPEL_NEW","",""
"42226","AT 2019mbs","03:38:14.586","+10:05:00.03","","","","","ZTF","","ZTF","ZTF19abkgbul","P48 - ZTF-Cam","","1","1","","19.03","g-ZTF","2019-07-30 11:09:19","ZTF_AMPEL_NEW","",""
"42225","AT 2019mbr","04:04:08.699","-01:07:27.68","","","","","ZTF","","ZTF","ZTF19abkfxfb","P48 - ZTF-Cam","","1","1","","18.22","g-ZTF","2019-07-30 11:07:20","ZTF_AMPEL_NEW","",""
"42224","AT 2019mbq","00:43:20.485","-25:53:02.19","","","","","ZTF","","ZTF","ZTF19abkfmjp","P48 - ZTF-Cam","","1","1","","19.04","g-ZTF","2019-07-30 11:01:19","ZTF_AMPEL_NEW","",""
"42223","AT 2019mbp","00:45:14.885","-21:15:14.96","","","","","ZTF","","ZTF","ZTF19abkflgh","P48 - ZTF-Cam","","1","1","","19.45","g-ZTF","2019-07-30 11:01:19","ZTF_AMPEL_NEW","",""
"42222","AT 2019mbo","05:47:05.047","+71:29:03.47","","","","","ZTF","","ZTF","ZTF19abkfcag","P48 - ZTF-Cam","","1","1","","19.59","g-ZTF","2019-07-30 10:37:43","ZTF_AMPEL_NEW","",""
"42221","AT 2019mbn","23:58:07.961","+17:46:03.68","","","","","ZTF","","ZTF","ZTF19abkdehm","P48 - ZTF-Cam","","1","1","","20.51","g-ZTF","2019-07-27 10:56:21","ZTF_AMPEL_NEW","",""
"42220","AT 2019mbm","02:35:59.271","+10:26:31.05","","","","","ZTF","","ZTF","ZTF19abjpkdz","P48 - ZTF-Cam","","1","1","","19.63","g-ZTF","2019-07-29 10:49:41","ZTF_AMPEL_NEW","",""
"42219","AT 2019mbl","23:57:43.102","-24:50:36.01","","","","","ZTF","","ZTF","ZTF19abjpehh","P48 - ZTF-Cam","","1","1","","19.49","g-ZTF","2019-07-29 10:31:33","ZTF_AMPEL_NEW","",""
"42218","AT 2019mbk","21:31:06.909","-20:24:03.56","","","","","ZTF","","ZTF","ZTF19abjmlrr","P48 - ZTF-Cam","","1","1","","18.84","r-ZTF","2019-07-29 08:32:14","ZTF_AMPEL_NEW","",""
"42217","AT 2019mbj","20:34:35.998","-20:17:04.89","","","","","ZTF","","ZTF","ZTF19abjkyve","P48 - ZTF-Cam","","1","1","","19.59","r-ZTF","2019-07-29 08:06:46","ZTF_AMPEL_NEW","",""
"42216","AT 2019mbi","16:30:13.964","+66:38:01.75","","","","","ZTF","","ZTF","ZTF19abjibet","P48 - ZTF-Cam","","1","1","","19.6","r-ZTF","2019-07-29 05:11:05","ZTF_AMPEL_NEW","","TESS-active sector/s (14);TESS-Sector14"
"42215","AT 2019mbh","03:36:19.801","+14:14:12.86","","","","","ZTF","","ZTF","ZTF19abjgdko","P48 - ZTF-Cam","","1","1","","18.34","r-ZTF","2019-07-28 11:45:37","ZTF_AMPEL_NEW","",""
"42214","AT 2019mbg","16:55:20.713","-18:21:58.64","","","","","ZTF","","ZTF","ZTF19abjbhmd","P48 - ZTF-Cam","","1","1","","19.03","r-ZTF","2019-07-28 04:01:49","ZTF_AMPEL_NEW","",""
"42213","AT 2019mbf","15:21:50.675","-25:14:12.79","","","","","ZTF","","ZTF","ZTF19abjbbia","P48 - ZTF-Cam","","1","1","","15.27","r-ZTF","2019-07-28 03:54:58","ZTF_AMPEL_NEW","",""
"42212","AT 2019mbe","00:18:39.979","-15:48:07.05","","","","","ZTF","","ZTF","ZTF19abjamgc","P48 - ZTF-Cam","","1","1","","20.35","r-ZTF","2019-07-26 09:57:04","ZTF_AMPEL_NEW","",""
"42211","AT 2019mbd","01:39:43.119","+42:15:36.63","","","","","ZTF","","ZTF","ZTF19abjaiyc","P48 - ZTF-Cam","","1","1","","19.55","r-ZTF","2019-07-30 09:50:50","ZTF_AMPEL_NEW","",""
