"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"1851"," 2000fw","14:30:13.999","+00:30:06.01","","","Anon.           ","","","","","","","","","0","1","","19.1","","2000-03-10 00:00:00.000","","[Discoverer=Madgwick et al.; DiscoveryRef=IAUC 8218; PositionRef=IAUC 8218; Orig Type=Unknown]",""
"1852"," 2000fx","10:18:00.000","-00:01:59.99","","","Anon.           ","","","","","","","","","0","1","","18.7","","2000-12-01 00:00:00.000","","[Discoverer=Madgwick et al.; DiscoveryRef=IAUC 8218; PositionRef=IAUC 8218; Orig Type=Unknown]",""
"1853"," 2000fy","08:03:13.001","+47:36:07.99","","","Anon.           ","","","","","","","","","0","1","","19.5","","2000-12-06 00:00:00.000","","[Discoverer=Madgwick et al.; DiscoveryRef=IAUC 8218; PositionRef=IAUC 8218; Orig Type=Unknown]",""
"1854"," 2000fz","01:18:36.000","+14:40:59.99","","","Anon.           ","","","","","","","","","0","1","","17.8","","2000-12-15 00:00:00.000","","[Discoverer=Madgwick et al.; DiscoveryRef=IAUC 8218; PositionRef=IAUC 8218; Orig Type=Unknown]",""
"1855","SN 2000G","02:18:15.269","+13:12:19.40","SN II","","UGC 1773        ","","","","","","","","","0","1","","17.2","","2000-02-05 00:00:00.000","","[Discoverer=Puckett; DiscoveryRef=IAUC 7358; PositionRef=IAUC 7358; Orig Type=II   ]",""
"1856"," 2000ga","02:29:04.001","-08:24:02.02","","","Anon.           ","","","","","","","","","0","1","","20","","2000-12-24 00:00:00.000","","[Discoverer=Madgwick et al.; DiscoveryRef=IAUC 8218; PositionRef=IAUC 8218; Orig Type=Unknown]",""
"1857","SN 2000gb","17:32:28.999","+56:04:04.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2000-10-01 00:00:00.000","","[Discoverer=Madgwick et al.; DiscoveryRef=IAUC 8219; PositionRef=IAUC 8219; Orig Type=Ia   ]",""
"1858","SN 2000H","06:51:07.670","+12:55:18.52","SN IIb","","IC 454          ","","","","","","","","","0","1","","17.3","","2000-02-07 00:00:00.000","","[Discoverer=Armstrong; Lick Observatory Supernova Search; DiscoveryRef=IAUC 7361; PositionRef=IAUC 7361; Orig Type=IIb  ]",""
"1859","SN 2000I","09:40:41.539","+11:53:08.48","SN II","","NGC 2958        ","","","","","","","","","0","1","","18.6","","2000-02-04 00:00:00.000","","[Discoverer=Puckett; DiscoveryRef=IAUC 7362; PositionRef=IAUC 7361; Orig Type=II   ]",""
"1860","SN 2000J","13:31:16.241","+29:22:32.30","SN II","","UGC 8510        ","","","","","","","","","0","1","","19.5","","2000-02-04 00:00:00.000","","[Discoverer=Puckett; DiscoveryRef=IAUC 7362; PositionRef=IAUC 7362; Orig Type=II   ]",""
"1861","SN 2000K","11:47:49.759","+56:01:00.08","SN Ia","","MCG +09-19-191  ","","","","","","","","","0","1","","16.6","","2000-02-28 00:00:00.000","","[Discoverer=Sala; Puckett, George; DiscoveryRef=IAUC 7371; PositionRef=IAUC 7371; Orig Type=Ia   ]",""
"1862","SN 2000L","10:15:01.819","+65:08:03.52","SN II","","UGC 5520        ","","","","","","","","","0","1","","17.8","","2000-02-29 00:00:00.000","","[Discoverer=Puckett; DiscoveryRef=IAUC 7372; PositionRef=IAUC 7372; Orig Type=II   ]",""
